"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MALAT1"	1.93836691663939e-43	-1.69516950951454	1	1	2.4564923934571e-39	"1"	"MALAT1"
"S100A4.1"	4.29270408575055e-43	2.10864146921259	1	0.717	5.44014388787167e-39	"1"	"S100A4"
"OAZ1.1"	5.42743338925109e-43	1.77647498330975	1	0.863	6.8781863341979e-39	"1"	"OAZ1"
"TKT.1"	3.94440923354852e-42	2.32897821740095	0.832	0.16	4.99874982167604e-38	"1"	"TKT"
"CDA.1"	7.03531369601713e-42	2.68100173454422	0.537	0.017	8.91585304696251e-38	"1"	"CDA"
"IFITM3.1"	4.45740645333396e-41	2.722485314041	0.642	0.062	5.64887119831013e-37	"1"	"IFITM3"
"NPC2.1"	1.24585442824768e-40	2.73196729456814	0.842	0.224	1.57887131691829e-36	"1"	"NPC2"
"S100A11.1"	1.80691326679159e-40	2.13138949791645	0.958	0.398	2.28990118300498e-36	"1"	"S100A11"
"GABARAP.1"	3.59438887752353e-40	2.07441560981797	0.905	0.331	4.55516902448557e-36	"1"	"GABARAP"
"CTSS.1"	3.87987629935996e-40	2.57835125806014	0.916	0.339	4.91696723417888e-36	"1"	"CTSS"
"GPX1.1"	1.12365872930447e-39	1.90428390618341	0.895	0.28	1.42401270764756e-35	"1"	"GPX1"
"SAT1.1"	7.1837841915202e-39	2.49393836450148	0.958	0.459	9.10400970591355e-35	"1"	"SAT1"
"FCGRT.1"	9.37497526949198e-39	2.09146527327343	0.674	0.076	1.18809061590272e-34	"1"	"FCGRT"
"BLVRB.1"	1.00272093287664e-38	1.97767156575074	0.6	0.048	1.27074823823457e-34	"1"	"BLVRB"
"RPS27A"	6.11215378095397e-38	-1.63870600068397	0.905	0.992	7.74593248660297e-34	"1"	"RPS27A"
"PYCARD.1"	3.38747780397633e-37	2.42320806982401	0.789	0.182	4.2929506209792e-33	"1"	"PYCARD"
"FPR1.1"	4.86757224647966e-36	1.9075788437213	0.453	0.011	6.16867430796368e-32	"1"	"FPR1"
"RPL9"	3.36851481757506e-35	-1.45360625447657	0.947	0.989	4.26891882831287e-31	"1"	"RPL9"
"BRI3.1"	5.29969176971337e-35	2.03604525398208	0.589	0.064	6.71629937975775e-31	"1"	"BRI3"
"MNDA.1"	5.93542016300622e-35	1.88366813257236	0.442	0.011	7.52195797257779e-31	"1"	"MNDA"
"SLC7A7.1"	6.54364844892797e-35	1.97330729803537	0.463	0.017	8.29276567932641e-31	"1"	"SLC7A7"
"RPS27"	7.93624145385698e-35	-1.25739838390851	0.979	0.989	1.00575987944729e-30	"1"	"RPS27"
"IGSF6.1"	7.60023343559689e-34	1.98970269318013	0.432	0.011	9.63177583293194e-30	"1"	"IGSF6"
"PTPRCAP"	1.04542091429172e-32	-3.02841150446309	0.116	0.815	1.3248619246819e-28	"1"	"PTPRCAP"
"RPL23A"	1.18143965825548e-32	-1.11288378791918	0.989	0.992	1.49723847890717e-28	"1"	"RPL23A"
"CD68.1"	1.36667399856361e-32	2.08153726778924	0.558	0.056	1.73198595837966e-28	"1"	"CD68"
"TNFSF13B.1"	3.32832706392956e-32	1.89480441408751	0.495	0.036	4.21798888811793e-28	"1"	"TNFSF13B"
"RPS6"	1.26841636568744e-31	-1.00806991002956	1	0.992	1.6074640602357e-27	"1"	"RPS6"
"APOBEC3A.1"	2.33827894943075e-31	2.04054818914931	0.432	0.02	2.96330091261359e-27	"1"	"APOBEC3A"
"CYBA.1"	2.86862102516882e-31	1.50033931125479	0.989	0.812	3.63540342519644e-27	"1"	"CYBA"
"RPL21"	5.29981451828483e-31	-1.24115573906069	0.989	0.994	6.71645493902237e-27	"1"	"RPL21"
"TSPO.1"	7.98838058015642e-31	2.09214210764987	0.853	0.339	1.01236747092322e-26	"1"	"TSPO"
"RAC1.1"	1.17445441073295e-30	1.77987351248124	0.832	0.269	1.48838607472187e-26	"1"	"RAC1"
"RPS3A"	2.17998624942287e-30	-1.3570603875382	0.958	0.98	2.76269657389361e-26	"1"	"RPS3A"
"ODF3B.1"	2.60987839461489e-30	1.90547743773295	0.453	0.028	3.30749888949545e-26	"1"	"ODF3B"
"PILRA.1"	3.16903348882742e-30	1.7329232984911	0.379	0.008	4.01611614039099e-26	"1"	"PILRA"
"LILRA5.1"	3.87660954018361e-30	1.46325899426673	0.368	0.006	4.91282727027469e-26	"1"	"LILRA5"
"CSF3R.1"	5.06567670321117e-30	1.8550897124758	0.432	0.022	6.41973208597951e-26	"1"	"CSF3R"
"FGR.1"	9.07675604477264e-30	1.75714961092662	0.589	0.076	1.15029729355404e-25	"1"	"FGR"
"ALDH2.1"	2.14131485005939e-29	1.83749894945619	0.411	0.02	2.71368830948027e-25	"1"	"ALDH2"
"RNF130.1"	2.33446722048149e-29	1.85080036481014	0.505	0.05	2.95847030851619e-25	"1"	"RNF130"
"NUP214.1"	2.55810481253032e-29	1.71707694986883	0.432	0.025	3.24188622891967e-25	"1"	"NUP214"
"C19orf38.1"	4.37870603376764e-29	1.56113968006781	0.379	0.011	5.54913415659373e-25	"1"	"C19orf38"
"ASGR1.1"	1.45409595821408e-28	1.51298521686269	0.337	0.003	1.8427758078447e-24	"1"	"ASGR1"
"HCK.1"	3.10871450013713e-28	1.56412246792728	0.442	0.031	3.93967388602378e-24	"1"	"HCK"
"STX11.1"	3.13796789570945e-28	2.14633179054089	0.432	0.028	3.97674671423259e-24	"1"	"STX11"
"RPL31"	3.91393886077586e-28	-1.16186058833056	0.937	0.992	4.96013471826125e-24	"1"	"RPL31"
"RPSA"	5.72307009094553e-28	-1.38088218758265	0.863	0.975	7.25284672625528e-24	"1"	"RPSA"
"ANXA2.1"	2.09546770520033e-27	1.8290589174935	0.832	0.283	2.65558622280038e-23	"1"	"ANXA2"
"RBP7.1"	4.75210225024431e-27	2.03399264341721	0.305	0	6.02233918173461e-23	"1"	"RBP7"
"SMCO4.1"	8.2919427612822e-27	1.36504271480762	0.389	0.02	1.05083790613729e-22	"1"	"SMCO4"
"GAPDH"	8.7061996384206e-27	1.21675472593243	0.989	0.832	1.10333668017704e-22	"1"	"GAPDH"
"RPS25"	3.14944779698405e-26	-1.03818696015954	0.958	0.989	3.99129519311789e-22	"1"	"RPS25"
"AP2S1.1"	5.29398247954677e-26	1.77521236541225	0.705	0.202	6.70906399632962e-22	"1"	"AP2S1"
"RPS23"	1.00067222746913e-25	-1.07696380629281	0.958	0.992	1.26815191387163e-21	"1"	"RPS23"
"RPS15A"	1.28720610280981e-25	-1.05596770494158	0.958	0.983	1.63127629409087e-21	"1"	"RPS15A"
"BST1"	1.73424526315483e-25	1.24273198883143	0.316	0.006	2.19780902199611e-21	"1"	"BST1"
"LTB"	2.73031793978316e-25	-3.09238299025565	0.284	0.784	3.4601319250872e-21	"1"	"LTB"
"S100A12.1"	3.43788969719798e-25	1.83856332985082	0.284	0	4.356837613259e-21	"1"	"S100A12"
"AGTRAP.1"	6.68852044905456e-25	1.51042672334107	0.411	0.034	8.47636196508684e-21	"1"	"AGTRAP"
"CD33"	8.01532504343379e-25	1.28205491387498	0.295	0.003	1.01578214275436e-20	"1"	"CD33"
"KLF4.1"	9.51106300498796e-25	1.59232218309157	0.379	0.025	1.20533701462212e-20	"1"	"KLF4"
"CEBPB.1"	2.05946066251565e-24	1.95761619670598	0.663	0.168	2.60995449760608e-20	"1"	"CEBPB"
"IL32.1"	3.49025191748069e-24	-3.22729955692966	0.105	0.692	4.42319625502327e-20	"1"	"IL32"
"MAFB"	1.01008631532532e-23	1.39741372769705	0.337	0.017	1.28008238741178e-19	"1"	"MAFB"
"CPVL.1"	1.02526522903306e-23	1.53796429680485	0.326	0.014	1.2993186247536e-19	"1"	"CPVL"
"BLVRA.1"	1.04786824925278e-23	1.68972450683641	0.505	0.076	1.32796343227805e-19	"1"	"BLVRA"
"TALDO1.1"	1.10902000267857e-23	2.21325191801333	0.758	0.252	1.40546104939455e-19	"1"	"TALDO1"
"TGFBI"	2.19584116122968e-23	1.2718758850571	0.316	0.011	2.78278950362637e-19	"1"	"TGFBI"
"RGS2.1"	3.31696956820829e-23	1.82775393652146	0.611	0.143	4.20359553379037e-19	"1"	"RGS2"
"TNFAIP2"	8.37735435306456e-23	1.23967343239531	0.284	0.006	1.06166211716387e-18	"1"	"TNFAIP2"
"ARPC1B"	1.16685278138281e-22	1.54821048830135	0.937	0.644	1.47875252984643e-18	"1"	"ARPC1B"
"RPL30"	1.65589180600355e-22	-1.00119515111377	0.989	0.986	2.0985116857483e-18	"1"	"RPL30"
"FOLR3"	1.98248899036332e-22	1.32245231880653	0.253	0	2.51240829748744e-18	"1"	"FOLR3"
"TIMP1.1"	4.27397009011242e-22	1.75407598635728	0.663	0.185	5.41640229519947e-18	"1"	"TIMP1"
"RPS29"	5.50879835516792e-22	-1.18966288676631	0.821	0.941	6.9813001555043e-18	"1"	"RPS29"
"RP11-290F20.3.1"	6.75476054387285e-22	1.53511320968056	0.326	0.02	8.56030803725006e-18	"1"	"RP11-290F20.3"
"CD3D.1"	1.28742339898669e-21	-2.82204053496315	0.105	0.65	1.63155167353583e-17	"1"	"CD3D"
"TMEM176B"	1.48091625602825e-21	1.34399198919428	0.284	0.008	1.8767651712646e-17	"1"	"TMEM176B"
"ARPC3.1"	1.6439198496659e-21	1.27675563873823	0.968	0.765	2.0833396254816e-17	"1"	"ARPC3"
"PLAUR"	2.89394470418403e-21	1.43184775292253	0.358	0.031	3.66749612361242e-17	"1"	"PLAUR"
"MTMR11"	3.29713279685196e-21	1.31661518110225	0.253	0.003	4.1784563934505e-17	"1"	"MTMR11"
"NEAT1"	3.7816651483764e-21	1.46346113110438	0.905	0.546	4.79250424253741e-17	"1"	"NEAT1"
"HLA-DRB1.1"	3.8200239870078e-21	1.30726674955306	0.842	0.283	4.84111639873498e-17	"1"	"HLA-DRB1"
"CTSH.1"	8.37055197406732e-21	1.55784811728365	0.453	0.073	1.06080005167355e-16	"1"	"CTSH"
"PLBD1.1"	8.54839341187014e-21	2.05987534597317	0.295	0.014	1.0833378970863e-16	"1"	"PLBD1"
"CTSD"	8.67622090407668e-21	1.57408039423365	0.558	0.123	1.09953747517364e-16	"1"	"CTSD"
"RPL5"	9.35958098052772e-21	-1.08368825783721	0.895	0.989	1.18613969766228e-16	"1"	"RPL5"
"RAB32.1"	9.55908243596587e-21	1.70678671800502	0.274	0.008	1.21142251710996e-16	"1"	"RAB32"
"MPEG1.1"	1.15506531795675e-20	1.20351035104666	0.326	0.022	1.46381427744659e-16	"1"	"MPEG1"
"ATP6V0B.1"	2.19615589346808e-20	1.98651851399674	0.653	0.199	2.7831883637921e-16	"1"	"ATP6V0B"
"CD3E.1"	3.16719400324562e-20	-2.31091244056394	0.074	0.627	4.01378496031317e-16	"1"	"CD3E"
"DDX5"	8.72377875261972e-20	-1.50393515578108	0.516	0.838	1.1055644813195e-15	"1"	"DDX5"
"VSTM1"	1.0211182219716e-19	1.14373418262923	0.274	0.011	1.2940631227046e-15	"1"	"VSTM1"
"STXBP2.1"	1.06937903480289e-19	1.68042337253932	0.579	0.154	1.3552240508057e-15	"1"	"STXBP2"
"FGL2"	1.23531056076908e-19	1.23170138735969	0.305	0.02	1.56550907366265e-15	"1"	"FGL2"
"S100A10"	1.43571453287323e-19	1.44088671143162	0.874	0.566	1.81948102751025e-15	"1"	"S100A10"
"QPCT"	2.4057671263252e-19	1.15570998519147	0.232	0.003	3.04882867919193e-15	"1"	"QPCT"
"C1orf162.1"	5.09462702243891e-19	1.47336926264879	0.737	0.263	6.45642082553682e-15	"1"	"C1orf162"
"MS4A7"	5.6235725672604e-19	1.2858507595254	0.253	0.008	7.1267535144891e-15	"1"	"MS4A7"
"LY86.1"	6.1048997582101e-19	1.38532522348491	0.453	0.076	7.73673946357966e-15	"1"	"LY86"
"CLEC7A"	7.55540567250466e-19	1.09362370699966	0.263	0.011	9.57496560876515e-15	"1"	"CLEC7A"
"CNPY3.1"	1.6867254972128e-18	1.45910420134863	0.589	0.165	2.13758722261778e-14	"1"	"CNPY3"
"FAM26F.1"	1.84328099504798e-18	1.38046936223903	0.505	0.104	2.33599000502431e-14	"1"	"FAM26F"
"CD300LF"	1.98514666614537e-18	1.00042837015195	0.221	0.003	2.51577637000603e-14	"1"	"CD300LF"
"RPS13"	2.05562231930733e-18	-1.03578376719352	0.926	0.966	2.60509016525817e-14	"1"	"RPS13"
"LDHB.1"	2.54934878057201e-18	-1.91790677938983	0.421	0.762	3.2307897096189e-14	"1"	"LDHB"
"CXCR4"	3.29117081205608e-18	-2.11348946085932	0.253	0.697	4.17090077011867e-14	"1"	"CXCR4"
"LRRC25"	3.88502813565444e-18	1.19843169275195	0.253	0.011	4.92349615631487e-14	"1"	"LRRC25"
"C5AR1"	3.92567762489371e-18	1.36705449396866	0.274	0.017	4.9750112540278e-14	"1"	"C5AR1"
"SLC31A2"	4.42486435555019e-18	1.13097830418109	0.253	0.011	5.60763059778876e-14	"1"	"SLC31A2"
"FKBP1A"	6.24958776691722e-18	1.36522233906267	0.737	0.328	7.92010257701419e-14	"1"	"FKBP1A"
"ARHGEF40"	2.58666838284956e-17	1.00291149211509	0.221	0.006	3.27808484158524e-13	"1"	"ARHGEF40"
"CAPG.1"	3.89107505007258e-17	1.36902590069494	0.453	0.092	4.93115941095697e-13	"1"	"CAPG"
"CTSB"	1.31255730296509e-16	1.41952958655143	0.453	0.101	1.66340387004766e-12	"1"	"CTSB"
"PGLS"	1.69287785251243e-16	1.0535930680916	0.621	0.21	2.145384102489e-12	"1"	"PGLS"
"VCAN"	1.95667607636923e-16	1.31644197449487	0.326	0.039	2.47969559158272e-12	"1"	"VCAN"
"GPBAR1"	1.97424700823607e-16	1.05719570560714	0.211	0.006	2.50196323353757e-12	"1"	"GPBAR1"
"CPPED1"	2.54871956157419e-16	1.10750056688191	0.263	0.02	3.22999230038297e-12	"1"	"CPPED1"
"FCGR2A"	2.71208156581102e-16	1.14336713993693	0.253	0.017	3.4370209683523e-12	"1"	"FCGR2A"
"IFI6"	2.82069098194557e-16	1.45455729637066	0.684	0.249	3.57466168141963e-12	"1"	"IFI6"
"ANXA5"	7.1061382499259e-16	1.30630152192706	0.6	0.196	9.00560900413109e-12	"1"	"ANXA5"
"PGD"	8.45743860949992e-16	1.18929557640266	0.337	0.048	1.07181119498193e-11	"1"	"PGD"
"LINC00936.1"	8.87999920751931e-16	1.5442026194016	0.537	0.16	1.12536229956892e-11	"1"	"LINC00936"
"VIM"	1.01088020797077e-15	1.40966873734267	0.895	0.739	1.28108848756136e-11	"1"	"VIM"
"TBXAS1"	1.03384366664419e-15	1.15956405837812	0.305	0.036	1.31019007873818e-11	"1"	"TBXAS1"
"HLA-DRB5.1"	1.2712646954123e-15	1.20913219405543	0.632	0.199	1.61107374849601e-11	"1"	"HLA-DRB5"
"PRELID1"	1.45060745266482e-15	1.41507786088894	0.737	0.331	1.83835482476213e-11	"1"	"PRELID1"
"AES.1"	1.61901545001292e-15	-1.80819901315321	0.158	0.605	2.05177827980137e-11	"1"	"AES"
"IL1B"	1.94838842239116e-15	1.35766647366086	0.242	0.017	2.46919264769631e-11	"1"	"IL1B"
"RPSAP58"	2.34846397703558e-15	-1.25319491147027	0.495	0.807	2.97620839809719e-11	"1"	"RPSAP58"
"C4orf48.1"	3.0139235990887e-15	1.43025736987141	0.358	0.062	3.81954537712510e-11	"1"	"C4orf48"
"MYL12A"	3.30396146272024e-15	-1.19920538441147	0.737	0.905	4.18711036170536e-11	"1"	"MYL12A"
"LGALS9.1"	4.888580054935e-15	1.07237882988039	0.4	0.073	6.19529750361912e-11	"1"	"LGALS9"
"CTSZ"	6.7181575399634e-15	1.21754877713925	0.295	0.036	8.51392105039562e-11	"1"	"CTSZ"
"APLP2.1"	7.81284976617335e-15	1.13417473401527	0.432	0.092	9.90122450867149e-11	"1"	"APLP2"
"SCO2"	8.62400804874905e-15	1.16198121112785	0.368	0.064	1.09292054001797e-10	"1"	"SCO2"
"ALDOA"	1.30063174050032e-14	1.18901201279458	0.874	0.653	1.64829060473605e-10	"1"	"ALDOA"
"MSRB1"	1.8298149239114e-14	1.10250149574233	0.305	0.042	2.31892445307292e-10	"1"	"MSRB1"
"EIF4A2"	1.85146976391786e-14	-1.60950921031924	0.337	0.711	2.3463676318131e-10	"1"	"EIF4A2"
"DUSP6"	3.202480500142e-14	1.01406201334136	0.263	0.028	4.05850353782996e-10	"1"	"DUSP6"
"FCGR1A"	5.21418772495989e-14	1.01082938001427	0.168	0.003	6.60794010384167e-10	"1"	"FCGR1A"
"BTG1"	7.67180329283897e-14	-1.20769231940991	0.716	0.908	9.72247631301482e-10	"1"	"BTG1"
"ASAH1"	8.97372692240212e-14	1.37840983162088	0.495	0.157	1.13724041287602e-09	"1"	"ASAH1"
"EVL.1"	9.73573303567021e-14	-1.44232158740753	0.242	0.639	1.23380944761049e-09	"1"	"EVL"
"CYBB"	1.41113941240012e-13	1.12266828659077	0.253	0.028	1.78833697733467e-09	"1"	"CYBB"
"CD7.1"	1.71953922723985e-13	-2.08649765746239	0.042	0.451	2.17917206268107e-09	"1"	"CD7"
"BID"	1.9562133221274e-13	1.1381038382768	0.379	0.081	2.47910914313206e-09	"1"	"BID"
"NAPRT1"	2.59183895211099e-13	1.04250336004574	0.326	0.056	3.28463750401025e-09	"1"	"NAPRT1"
"LAMTOR2"	2.87834432647987e-13	1.14690377165838	0.474	0.132	3.64772576494794e-09	"1"	"LAMTOR2"
"GLTSCR2"	3.10299913639757e-13	-1.13251842477729	0.642	0.852	3.93243080555664e-09	"1"	"GLTSCR2"
"RETN"	3.92899052424752e-13	1.10446092157637	0.158	0.003	4.97920969137888e-09	"1"	"RETN"
"NPM1"	4.16578511646866e-13	-1.08699299915689	0.621	0.849	5.27929947810073e-09	"1"	"NPM1"
"EIF4EBP1"	6.07794203529443e-13	1.04125981982772	0.305	0.05	7.70257594132864e-09	"1"	"EIF4EBP1"
"ATP6V0D1"	9.52270435557835e-13	1.1517403374575	0.358	0.076	1.20681232298244e-08	"1"	"ATP6V0D1"
"MIR24-2.1"	9.80954290347809e-13	1.3687488667025	0.305	0.053	1.24316337215778e-08	"1"	"MIR24-2"
"CSTB"	1.15989662839033e-12	1.29951757799535	0.621	0.261	1.46993699715907e-08	"1"	"CSTB"
"C20orf24"	1.34068532123414e-12	1.17441215526152	0.558	0.199	1.69905050760003e-08	"1"	"C20orf24"
"ATP6V1F"	1.5553463822074e-12	1.06402737181587	0.642	0.266	1.97109047017144e-08	"1"	"ATP6V1F"
"HLA-DMA.1"	1.98325705332307e-12	1.03403424101354	0.526	0.162	2.51338166367633e-08	"1"	"HLA-DMA"
"GCA"	2.86405863909404e-12	1.05721004377224	0.316	0.059	3.62962151332388e-08	"1"	"GCA"
"RHOG"	3.15432503012784e-12	1.15768175097442	0.632	0.263	3.99747611068102e-08	"1"	"RHOG"
"SERPINB1.1"	3.17017278574521e-12	1.97255502409117	0.632	0.252	4.0175599713749e-08	"1"	"SERPINB1"
"CD69"	3.26582852293589e-12	-1.90478757180124	0.084	0.459	4.13878448711666e-08	"1"	"CD69"
"LCK.1"	4.46473658152913e-12	-1.57078590650385	0.063	0.448	5.65816066977187e-08	"1"	"LCK"
"C20orf27.1"	4.80765736566717e-12	1.93989926794294	0.284	0.048	6.09274417951e-08	"1"	"C20orf27"
"FOSB"	4.83037294458209e-12	1.08676217991474	0.726	0.417	6.12153163266888e-08	"1"	"FOSB"
"CARD16"	6.48906968481494e-12	1.07822465173444	0.526	0.174	8.22359801156597e-08	"1"	"CARD16"
"IL2RG"	7.9912988046097e-12	-1.66543851351627	0.147	0.504	1.01273729750819e-07	"1"	"IL2RG"
"C10orf54"	9.57345218807021e-12	1.13352163927794	0.6	0.255	1.21324359579414e-07	"1"	"C10orf54"
"RHOB"	1.79431367924044e-11	1.27133089518595	0.305	0.059	2.27393372570141e-07	"1"	"RHOB"
"STK17A"	1.81857216748971e-11	-1.81370335143188	0.074	0.431	2.30467650785971e-07	"1"	"STK17A"
"IFITM1.1"	2.21150638126042e-11	-1.67621376451542	0.168	0.529	2.80264203697133e-07	"1"	"IFITM1"
"IL7R.1"	3.54194397894854e-11	-1.90348693693044	0.126	0.473	4.48870560452148e-07	"1"	"IL7R"
"CCL3"	3.83218730009854e-11	1.41139966663108	0.337	0.081	4.85653096541489e-07	"1"	"CCL3"
"HSBP1"	4.874419095057e-11	1.07298264444932	0.358	0.087	6.17735131916574e-07	"1"	"HSBP1"
"NOP10"	6.11751539026582e-11	1.02544152630531	0.526	0.204	7.75272725408388e-07	"1"	"NOP10"
"AMICA1"	6.8769179100794e-11	1.04114091961925	0.495	0.171	8.71511806744363e-07	"1"	"AMICA1"
"NDUFS7.1"	7.03168823464774e-11	1.38668510720921	0.537	0.202	8.91125849976908e-07	"1"	"NDUFS7"
"SEPT7"	7.36989792914161e-11	-1.51170510205356	0.074	0.423	9.33987164560116e-07	"1"	"SEPT7"
"CD2.1"	1.14812236114705e-10	-1.88293908667089	0.074	0.415	1.45501546828166e-06	"1"	"CD2"
"HLA-DPA1.1"	2.45158059818926e-10	1.03740936758255	0.716	0.384	3.10688809208525e-06	"1"	"HLA-DPA1"
"NFKBIA"	4.14534472438808e-10	1.1452533632176	0.684	0.37	5.25339536921701e-06	"1"	"NFKBIA"
"NINJ1"	4.99705306546138e-10	1.03926630045822	0.284	0.059	6.33276534985921e-06	"1"	"NINJ1"
"ISG15"	5.59060417225782e-10	1.3533354884372	0.642	0.331	7.08497266750234e-06	"1"	"ISG15"
"H2AFY"	6.17603649465344e-10	1.33254565178591	0.505	0.204	7.82689104967431e-06	"1"	"H2AFY"
"ARRB2"	1.78803579989185e-09	1.53968323196106	0.432	0.154	2.26597776920294e-05	"1"	"ARRB2"
"CD247.1"	2.02899150376719e-09	-1.86073936675301	0.021	0.325	2.57134093272416e-05	"1"	"CD247"
"CTSW.1"	3.55345297144311e-09	-2.33743200575509	0.084	0.384	4.50329095070985e-05	"1"	"CTSW"
"ISG20"	5.11571120666544e-09	-1.4046057931134	0.189	0.504	6.48314081220711e-05	"1"	"ISG20"
"JUND"	7.45635423847355e-09	1.14347080228792	0.326	0.095	9.44943772641753e-05	"1"	"JUND"
"RARRES3.1"	7.7728356703203e-09	-1.39019238309514	0.2	0.515	9.85051464499692e-05	"1"	"RARRES3"
"TNFRSF1A"	8.9059274507406e-09	1.32239132128651	0.189	0.028	0.000112864818583236	"1"	"TNFRSF1A"
"ACAP1"	1.01710804963294e-08	-1.29189483689055	0.084	0.387	0.000128898103129982	"1"	"ACAP1"
"ZNF467"	1.20486199436698e-08	1.2943377130729	0.116	0.006	0.000152692160546127	"1"	"ZNF467"
"GIMAP7.1"	1.60226907339543e-08	-1.3866368951231	0.316	0.563	0.000203055559671403	"1"	"GIMAP7"
"SCPEP1.1"	2.24145467866042e-08	1.1566587198185	0.295	0.076	0.000284059551426634	"1"	"SCPEP1"
"RHOH"	2.45207435963872e-08	-1.26291926884604	0.021	0.297	0.000310751383597015	"1"	"RHOH"
"JUN"	2.89506596229599e-08	-1.25101521558511	0.568	0.737	0.000366891709401771	"1"	"JUN"
"CALM1.1"	4.86455658062257e-08	-1.05638564197614	0.547	0.697	0.000616485255462299	"1"	"CALM1"
"LAT.1"	5.32469543148332e-08	-1.36969179702144	0.021	0.283	0.000674798652031881	"1"	"LAT"
"CD53"	5.58620524604778e-08	-1.08465576055422	0.305	0.56	0.000707939790831635	"1"	"CD53"
"SELL"	7.60637330642882e-08	-1.16521458411209	0.295	0.56	0.000963955689123725	"1"	"SELL"
"UBB"	8.11566134777657e-08	-1.06202443917861	0.674	0.81	0.00102849776260373	"1"	"UBB"
"TNFSF10"	1.07585438856413e-07	1.30351248083341	0.368	0.126	0.00136343026662732	"1"	"TNFSF10"
"SOD2"	1.16123138916546e-07	1.14046039898793	0.337	0.118	0.00147162853948939	"1"	"SOD2"
"GZMM.1"	1.17292460898961e-07	-1.50644351532136	0.021	0.277	0.00148644735697253	"1"	"GZMM"
"CD27"	1.17737963476527e-07	-1.33531721694745	0.032	0.286	0.00149209321113802	"1"	"CD27"
"G0S2"	1.37695724088762e-07	1.01508832502974	0.147	0.02	0.00174501791137688	"1"	"G0S2"
"PEBP1"	2.87785880490147e-07	-1.17554018009351	0.158	0.417	0.00364711046345163	"1"	"PEBP1"
